year,stage,home_team,away_team,home_score,away_score,home_elo,away_elo,is_host_home,is_host_away
2018,group,ARG,ISL,1,1,1880,1590,0,0
2018,group,GER,MEX,0,1,1910,1700,0,0
2018,group,BRA,SUI,1,1,1930,1730,0,0
2018,group,RUS,EGY,3,1,1600,1530,1,0
2018,group,ARG,HRV,0,3,1870,1720,0,0
2018,group,ENG,PAN,6,1,1760,1460,0,0
2018,group,URU,RUS,3,0,1740,1630,0,1
2018,group,KOR,GER,2,0,1540,1890,0,0
2018,knockout,FRA,ARG,4,3,1860,1840,0,0
2018,knockout,URU,POR,2,1,1750,1810,0,0
2018,knockout,RUS,ESP,1,1,1610,1850,1,0
2018,knockout,HRV,DEN,1,1,1760,1720,0,0
2018,knockout,FRA,URU,2,0,1880,1770,0,0
2018,knockout,BRA,BEL,1,2,1940,1850,0,0
2018,knockout,HRV,RUS,2,2,1770,1620,0,1
2018,knockout,FRA,BEL,1,0,1900,1870,0,0
2018,knockout,HRV,ENG,2,1,1780,1800,0,0
2018,knockout,FRA,HRV,4,2,1910,1810,0,0
2014,group,BRA,HRV,3,1,1910,1680,1,0
2014,group,ESP,NED,1,5,1930,1810,0,0
2014,group,ENG,ITA,1,2,1740,1790,0,0
2014,group,GER,POR,4,0,1900,1780,0,0
2014,group,BRA,MEX,0,0,1920,1690,1,0
2014,group,CRC,ITA,1,0,1590,1800,0,0
2014,group,CMR,BRA,1,4,1490,1920,0,1
2014,knockout,BRA,CHL,1,1,1935,1740,1,0
2014,knockout,COL,URU,2,0,1820,1750,0,0
2014,knockout,NED,MEX,2,1,1840,1715,0,0
2014,knockout,GER,ALG,2,1,1910,1580,0,0
2014,knockout,BRA,COL,2,1,1935,1835,1,0
2014,knockout,FRA,GER,0,1,1800,1915,0,0
2014,knockout,GER,BRA,7,1,1920,1945,0,1
2014,knockout,NED,ARG,0,0,1860,1870,0,0
2014,knockout,GER,ARG,1,0,1980,1870,0,0
2010,group,RSA,MEX,1,1,1530,1690,1,0
2010,group,ESP,SUI,0,1,1960,1670,0,0
2010,group,ARG,KOR,4,1,1870,1580,0,0
2010,group,FRA,RSA,1,2,1720,1520,0,1
2010,group,POR,PRK,7,0,1820,1400,0,0
2010,knockout,URU,KOR,2,1,1720,1600,0,0
2010,knockout,GER,ENG,4,1,1850,1780,0,0
2010,knockout,ARG,MEX,3,1,1900,1710,0,0
2010,knockout,URU,GHA,1,1,1740,1580,0,0
2010,knockout,ARG,GER,0,4,1910,1870,0,0
2010,knockout,GER,ESP,0,1,1920,1950,0,0
2010,knockout,NED,ESP,0,1,1890,1960,0,0
2006,group,GER,CRC,4,2,1820,1540,1,0
2006,group,ARG,CIV,2,1,1870,1590,0,0
2006,group,ITA,GHA,2,0,1850,1520,0,0
2006,group,BRA,CRO,1,0,1970,1700,0,0
2006,group,FRA,KOR,1,1,1860,1560,0,0
2006,knockout,GER,SWE,2,0,1845,1720,1,0
2006,knockout,ARG,MEX,2,1,1890,1715,0,0
2006,knockout,GER,ARG,1,1,1860,1905,1,0
2006,knockout,ITA,GER,2,0,1890,1870,0,1
2006,knockout,ITA,FRA,1,1,1930,1890,0,0
2002,group,FRA,SEN,0,1,1960,1500,0,0
2002,group,KOR,POL,2,0,1510,1640,1,0
2002,group,JPN,BEL,2,2,1565,1675,1,0
2002,group,USA,POR,3,2,1590,1820,0,0
2002,group,GER,KSA,8,0,1780,1420,0,0
2002,knockout,GER,PAR,1,0,1800,1670,0,0
2002,knockout,ESP,IRL,1,1,1850,1690,0,0
2002,knockout,KOR,ITA,2,1,1580,1845,1,0
2002,knockout,GER,USA,1,0,1810,1660,0,0
2002,knockout,KOR,ESP,0,0,1630,1860,1,0
2002,knockout,GER,KOR,1,0,1825,1650,0,1
2002,knockout,BRA,GER,2,0,1950,1840,0,0
